w.440,r.440,w.500,r.500,w.675,r.675,w.870,r.870,w.1020,r.1020,w.1640,r.1640,w.2130,r.2130
442.45932,0.9087488746,0.0,0.0,0.0,0.0,872.45932,0.98795413407,1022.04944,0.9795135925,1637.84481,0.98647594315,0,0
442.49687,0.9099074664,0.0,0.0,0.0,0.0,872.49687,0.98597982534,1022.08073,0.9783813325,1637.91114,0.98696007857,0,0
442.53442,0.9108515744,0.0,0.0,0.0,0.0,872.53442,0.98536258508,1022.11202,0.9772104807,1637.97747,0.98889393138,0,0
442.57196,0.9115914316,0.0,0.0,0.0,0.0,872.57196,0.98536386944,1022.1433,0.9760035129,1638.0438,0.98887890253,0,0
442.60951,0.9121366413,0.0,0.0,0.0,0.0,872.60951,0.98395978904,1022.17459,0.974762896,1638.11014,0.98650703819,0,0
442.64706,0.9124968537,0.0,0.0,0.0,0.0,872.64706,0.98011141309,1022.20588,0.9734910851,1638.17647,0.98656009188,0,0
442.68461,0.9126814381,0.0,0.0,0.0,0.0,872.68461,0.9796619388,1022.23717,0.9721905316,1638.2428,0.98537317353,0,0
442.72215,0.912692148,0.0,0.0,0.0,0.0,872.72215,0.97948320251,1022.26846,0.9708418564,1638.30914,0.98411507733,0,0
442.7597,0.9125480201,0.0,0.0,0.0,0.0,872.7597,0.97814325335,1022.29975,0.9694562433,1638.37547,0.98421456197,0,0
442.79725,0.9122763846,0.0,0.0,0.0,0.0,872.79725,0.97613344175,1022.33104,0.9680548175,1638.4418,0.98182210605,0,0
442.83479,0.9119696898,0.0,0.0,0.0,0.0,872.83479,0.97678495956,1022.36233,0.9666434344,1638.50814,0.98194349806,0,0
442.87234,0.9115172875,0.0,0.0,0.0,0.0,872.87234,0.97695571997,1022.39362,0.9652279292,1638.57447,0.98194349806,0,0
442.90989,0.9108381985,0.0,0.0,0.0,0.0,872.90989,0.97665571378,1022.42491,0.9638140934,1638.6408,0.98194349806,0,0
442.94743,0.9098638344,0.0,0.0,0.0,0.0,872.94743,0.97776808774,1022.4562,0.9624076944,1638.70713,0.98194349806,0,0
442.98498,0.9086785097,0.0,0.0,0.0,0.0,872.98498,0.98194068975,1022.48748,0.9610144597,1638.77347,0.98194349806,0,0
443.02253,0.9073226377,0.0,0.0,0.0,0.0,873.02253,0.98564638332,1022.51877,0.9596463331,1638.8398,0.98194349806,0,0
443.06008,0.9058003866,0.0,0.0,0.0,0.0,873.06008,0.98622213767,1022.55006,0.9583062971,1638.90613,0.98194349806,0,0
443.09762,0.9041002051,0.0,0.0,0.0,0.0,873.09762,0.98297612953,1022.58135,0.9569948176,1638.97247,0.98194349806,0,0
443.13517,0.902266829,0.0,0.0,0.0,0.0,873.13517,0.97932725046,1022.61264,0.9557165239,1639.0388,0.98194349806,0,0
443.17272,0.900215322,0.0,0.0,0.0,0.0,873.17272,0.97871190108,1022.64393,0.9544760266,1639.10513,0.98194349806,0,0
443.21026,0.8978836071,0.0,0.0,0.0,0.0,873.21026,0.98130191287,1022.67522,0.9532779125,1639.17146,0.98194349806,0,0
443.24781,0.8952186582,0.0,0.0,0.0,0.0,873.24781,0.98484631214,1022.70651,0.9521267498,1639.2378,0.98194349806,0,0
443.28536,0.8922487613,0.0,0.0,0.0,0.0,873.28536,0.98550912957,1022.7378,0.9510270937,1639.30413,0.98194349806,0,0
443.3229,0.8889554054,0.0,0.0,0.0,0.0,873.3229,0.98428570556,1022.76909,0.9499898055,1639.37046,0.98194349806,0,0
443.36045,0.8853539015,0.0,0.0,0.0,0.0,873.36045,0.98365707859,1022.80038,0.9490165334,1639.4368,0.98194349806,0,0
443.398,0.88147294,0.0,0.0,0.0,0.0,873.398,0.98561220207,1022.83166,0.9481067576,1639.50313,0.98203682116,0,0
443.43554,0.877367142,0.0,0.0,0.0,0.0,873.43554,0.98796525735,1022.86295,0.9472640219,1639.56946,0.98076924961,0,0
443.47309,0.8729867455,0.0,0.0,0.0,0.0,873.47309,0.98921835505,1022.89424,0.9464918642,1639.63579,0.97972104,0,0
443.51064,0.8682913955,0.0,0.0,0.0,0.0,873.51064,0.98973925345,1022.92553,0.9457938321,1639.70213,0.97740844441,0,0
443.54819,0.8632542739,0.0,0.0,0.0,0.0,873.54819,0.99059090913,1022.95682,0.9451734789,1639.76846,0.97791752466,0,0
443.58573,0.8579716376,0.0,0.0,0.0,0.0,873.58573,0.9916689571,1022.98811,0.9446343635,1639.83479,0.98101188727,0,0
443.62328,0.8525028113,0.0,0.0,0.0,0.0,873.62328,0.99192084214,1023.0194,0.9442104478,1639.90113,0.98190734163,0,0
443.66083,0.8468751725,0.0,0.0,0.0,0.0,873.66083,0.99170310912,1023.05069,0.9438907307,1639.96746,0.98426951222,0,0
443.69837,0.8411045591,0.0,0.0,0.0,0.0,873.69837,0.99210111513,1023.08198,0.9436554886,1640.03379,0.98720760174,0,0
443.73592,0.8352081059,0.0,0.0,0.0,0.0,873.73592,0.99454393588,1023.11327,0.9435037324,1640.10013,0.98874420887,0,0
443.77347,0.8292227045,0.0,0.0,0.0,0.0,873.77347,0.99442917411,1023.14456,0.9434345026,1640.16646,0.99045363982,0,0
443.81101,0.8231800363,0.0,0.0,0.0,0.0,873.81101,0.99075136024,1023.17584,0.9434468617,1640.23279,0.99328552256,0,0
443.84856,0.8171096827,0.0,0.0,0.0,0.0,873.84856,0.9853002721,1023.20713,0.9435398805,1640.29912,0.99027873932,0,0
443.88611,0.8110319209,0.0,0.0,0.0,0.0,873.88611,0.98263227209,1023.23842,0.9437126633,1640.36546,0.98875697207,0,0
443.92365,0.8049634824,0.0,0.0,0.0,0.0,873.92365,0.98010891282,1023.26971,0.9440749636,1640.43179,0.98692005776,0,0
443.9612,0.7989351213,0.0,0.0,0.0,0.0,873.9612,0.97495488982,1023.301,0.9445701876,1640.49812,0.98639836401,0,0
443.99875,0.7929813996,0.0,0.0,0.0,0.0,873.99875,0.96539579715,1023.33229,0.9451156677,1640.56446,0.98407382498,0,0
444.0363,0.7871801824,0.0,0.0,0.0,0.0,874.0363,0.9522565616,1023.36358,0.9456939263,1640.63079,0.98420711152,0,0
444.07384,0.7814667072,0.0,0.0,0.0,0.0,874.07384,0.94128214496,1023.39487,0.9462874448,1640.69712,0.98420711152,0,0
444.11139,0.7758195739,0.0,0.0,0.0,0.0,874.11139,0.93252108695,1023.42616,0.9468786684,1640.76345,0.98420711152,0,0
444.14894,0.7702202889,0.0,0.0,0.0,0.0,874.14894,0.92263162537,1023.45745,0.9474499957,1640.82979,0.98410459198,0,0
444.18648,0.7646539432,0.0,0.0,0.0,0.0,874.18648,0.90628485958,1023.48874,0.9479837801,1640.89612,0.98546230136,0,0
444.22403,0.7590833806,0.0,0.0,0.0,0.0,874.22403,0.88699840329,1023.52003,0.9485826087,1640.96245,0.98654829812,0,0
444.26158,0.753521671,0.0,0.0,0.0,0.0,874.26158,0.86633002252,1023.55131,0.9491652324,1641.02879,0.98647594315,0,0
444.29912,0.7479957222,0.0,0.0,0.0,0.0,874.29912,0.84471330231,1023.5826,0.9496281645,1641.09512,0.98647594315,0,0
444.33667,0.7426279675,0.0,0.0,0.0,0.0,874.33667,0.82171873897,1023.61389,0.9499357804,1641.16145,0.98647594315,0,0
444.37422,0.7372195454,0.0,0.0,0.0,0.0,874.37422,0.79814649979,1023.64518,0.9500524786,1641.22778,0.98636949623,0,0
444.41176,0.7316500558,0.0,0.0,0.0,0.0,874.41176,0.77251270521,1023.67647,0.9499427489,1641.29412,0.98876854142,0,0
444.44931,0.7258259256,0.0,0.0,0.0,0.0,874.44931,0.7436734374,1023.70776,0.9495712375,1641.36045,0.98942609019,0,0
444.48686,0.7197842299,0.0,0.0,0.0,0.0,874.48686,0.71340058085,1023.73905,0.9489028439,1641.42678,0.9910177086,0,0
444.52441,0.7135332076,0.0,0.0,0.0,0.0,874.52441,0.68392095815,1023.77034,0.9479371838,1641.49312,0.99302852443,0,0
444.56195,0.7070255607,0.0,0.0,0.0,0.0,874.56195,0.65383959566,1023.80163,0.9466208518,1641.55945,0.99098453491,0,0
444.5995,0.7002018213,0.0,0.0,0.0,0.0,874.5995,0.62187210149,1023.83292,0.9448965411,1641.62578,0.9911376677,0,0
444.63705,0.6930368967,0.0,0.0,0.0,0.0,874.63705,0.59025943844,1023.86421,0.9427263367,1641.69212,0.98972082873,0,0
444.67459,0.6854540786,0.0,0.0,0.0,0.0,874.67459,0.55963460375,1023.89549,0.9400732876,1641.75845,0.98858183635,0,0
444.71214,0.677411263,0.0,0.0,0.0,0.0,874.71214,0.52930140644,1023.92678,0.9369016066,1641.82478,0.99119211305,0,0
444.74969,0.6688589779,0.0,0.0,0.0,0.0,874.74969,0.49912591289,1023.95807,0.9331768553,1641.89111,0.99405268445,0,0
444.78723,0.6596915669,0.0,0.0,0.0,0.0,874.78723,0.47145364672,1023.98936,0.9288661502,1641.95745,0.99692151039,0,0
444.82478,0.6497720596,0.0,0.0,0.0,0.0,874.82478,0.44511165745,1024.02065,0.9238808472,1642.02378,1.0,0,0
444.86233,0.6391259413,0.0,0.0,0.0,0.0,874.86233,0.4185597213,1024.05194,0.9182259371,1642.09011,0.99787563914,0,0
444.89987,0.6278158825,0.0,0.0,0.0,0.0,874.89987,0.3911924059,1024.08323,0.9119127925,1642.15645,0.99728394564,0,0
444.93742,0.6159613011,0.0,0.0,0.0,0.0,874.93742,0.36444263124,1024.11452,0.9049250383,1642.22278,0.99412644388,0,0
444.97497,0.603415981,0.0,0.0,0.0,0.0,874.97497,0.33997314939,1024.14581,0.8972486867,1642.28911,0.9933492293,0,0
445.01252,0.5901246244,0.0,0.0,0.0,0.0,875.01252,0.31852443907,1024.1771,0.8888722999,1642.35544,0.99097332578,0,0
445.05006,0.5760543708,0.0,0.0,0.0,0.0,875.05006,0.29962317088,1024.20839,0.8797871592,1642.42178,0.99114253066,0,0
445.08761,0.5612304066,0.0,0.0,0.0,0.0,875.08761,0.28125825888,1024.23967,0.8699873628,1642.48811,0.98952862686,0,0
445.12516,0.5456323547,0.0,0.0,0.0,0.0,875.12516,0.26182974466,1024.27096,0.8593365743,1642.55444,0.99063602619,0,0
445.1627,0.5293311363,0.0,0.0,0.0,0.0,875.1627,0.24257667844,1024.30225,0.8479192515,1642.62078,0.99120939277,0,0
445.20025,0.5124164913,0.0,0.0,0.0,0.0,875.20025,0.22510449083,1024.33354,0.8358239996,1642.68711,0.99334101806,0,0
445.2378,0.4949530001,0.0,0.0,0.0,0.0,875.2378,0.20998017319,1024.36483,0.8230746806,1642.75344,0.9946888277,0,0
445.27534,0.477040158,0.0,0.0,0.0,0.0,875.27534,0.19631686637,1024.39612,0.8096971793,1642.81977,0.99566156191,0,0
445.31289,0.458768489,0.0,0.0,0.0,0.0,875.31289,0.18325286286,1024.42741,0.7957192923,1642.88611,0.9956036925,0,0
445.35044,0.4402256095,0.0,0.0,0.0,0.0,875.35044,0.17039974364,1024.4587,0.7811707257,1642.95244,0.9956036925,0,0
445.38798,0.4214898455,0.0,0.0,0.0,0.0,875.38798,0.15822481948,1024.48999,0.76608284,1643.01877,0.9956036925,0,0
445.42553,0.4026012653,0.0,0.0,0.0,0.0,875.42553,0.14687338172,1024.52128,0.7503218158,1643.08511,0.9956036925,0,0
445.46308,0.383700729,0.0,0.0,0.0,0.0,875.46308,0.13592793456,1024.55257,0.7340343939,1643.15144,0.99581102064,0,0
